meeting,naive_kelly,robust_G0,robust_G1,robust_G2,robust_G3,robust_G5,robust_G8,equal_weight,random
C37,0.1011223272908268,0.09772681583308257,0.07396028943697765,0.040714222381616406,0.006425300742591293,0.0,0.0,0.14968543550323618,0.12173054893163701
C38,0.023230155551781744,0.02237507458997608,0.018396046135467994,0.0060693230363089695,0.0,0.0,0.0,0.04040832390769187,0.039722186723213815
C39,0.0020032765623264107,0.001870318013572773,0.0,0.0,0.0,0.0,0.0,0.07570452978605746,0.04181512476458779
C40,0.005741684162747866,0.005245605687935798,0.0,0.0,0.0,0.0,0.0,0.10334499625615445,0.06407141329270767
C41,0.03151382480296313,0.03517088146708273,0.020131058192276566,0.005461926475328249,0.0,0.0,0.0,0.07808296915840805,0.05459725428259903
C42,-0.02470547641532468,-0.029263764014360732,-0.022877374584980726,-0.015986462023375888,-0.009060187653136393,0.0,0.0,-0.04507282574836169,-0.0566675654067269
C43,-0.03728021601960809,-0.04159084142747023,-0.019657866227558298,-0.008651487476447294,0.0,0.0,0.0,-0.12270907269956056,-0.09631970717512374
C44,-0.0034847486298118066,-0.003912610039131016,-0.008780315827527255,-0.0034559542850119917,0.0,0.0,0.0,-0.0351240929410073,-0.046414631913025105
C45,-0.06332950360451663,-0.06411638802606928,-0.018250594491662657,0.0,0.0,0.0,0.0,-0.2995578669319748,-0.20309448394113633
C46,-0.007901792930945941,-0.010079483861795916,0.0,0.0,0.0,0.0,0.0,-0.04767665391736198,-0.025725194245328317
C47,0.057609700268491486,0.05503853219038062,0.0024156198245989507,0.0,0.0,0.0,0.0,0.15817996779716414,0.11012849872744639
C48,-0.004083154866792284,-0.005318802633114003,0.0,0.0,0.0,0.0,0.0,-0.10906223869782267,-0.07771586096439989
C49,-0.006455734873363397,-0.006563157141675608,0.0,0.0,0.0,0.0,0.0,-0.20252426411147406,-0.1407927033304538
C50,-0.00033398745811366945,-0.0002500312552093101,0.0,0.0,0.0,0.0,0.0,-0.10536051565782631,-0.10536051565782634
C51,-0.03642355051541656,-0.03930404995902978,-0.0051167868455711885,0.0,0.0,0.0,0.0,-0.2913926518483166,-0.22610745095932666
C52,-6.3507555147745e-05,-0.0005626582624762113,0.0,0.0,0.0,0.0,0.0,0.38299225225610584,0.23478744224731127
C53,0.00380179427392373,0.002358950344009233,0.0,0.0,0.0,0.0,0.0,0.32558964349155856,0.20253016858741668
C54,-0.0048342888530783,-0.005401018486330063,0.0,0.0,0.0,0.0,0.0,-0.11333541367278407,-0.10615680084493884
C55,0.018586090847692135,0.017100128365319968,0.0,0.0,0.0,0.0,0.0,0.1952244623459828,0.11665943970656753
C56,0.011602770966680562,0.01636260411028837,0.00830940400067285,0.0016225117558750584,0.0,0.0,0.0,0.056680126352906604,0.03998518600223656
