k_bad,instance,strategy,growth
0,31,naive_kelly,0.07998191534861583
0,31,robust_G0,0.07971958604995008
0,31,robust_G1,0.07273616363128108
0,31,robust_G2,0.06509891273638345
0,31,robust_G3,0.04952716847683003
0,31,robust_G6,0.02789134275169865
0,31,equal_weight,0.07215375340722413
0,31,oracle_kelly,0.08149028672653899
0,32,naive_kelly,0.08647858673800823
0,32,robust_G0,0.08647906509387
0,32,robust_G1,0.08608745184799418
0,32,robust_G2,0.084649552967963
0,32,robust_G3,0.084649552967963
0,32,robust_G6,0.026544657380306303
0,32,equal_weight,0.0837989684972791
0,32,oracle_kelly,0.08781745997245778
0,33,naive_kelly,0.06553196505548062
0,33,robust_G0,0.06579082375944155
0,33,robust_G1,0.06476111778660316
0,33,robust_G2,0.05853655241236075
0,33,robust_G3,0.04794098067641559
0,33,robust_G6,0.014794048376919338
0,33,equal_weight,0.05324660762860871
0,33,oracle_kelly,0.071023205308204
0,34,naive_kelly,0.08484817315463317
0,34,robust_G0,0.08472599208668513
0,34,robust_G1,0.0843728301356899
0,34,robust_G2,0.08139572122727788
0,34,robust_G3,0.0703505347855145
0,34,robust_G6,0.032029976509315106
0,34,equal_weight,0.07865635604842086
0,34,oracle_kelly,0.08694012616817733
0,35,naive_kelly,0.0930779973783498
0,35,robust_G0,0.09187976114908147
0,35,robust_G1,0.09490348640804058
0,35,robust_G2,0.08380871281508236
0,35,robust_G3,0.06118070358530557
0,35,robust_G6,0.03517310508894751
0,35,equal_weight,0.08696011854397853
0,35,oracle_kelly,0.09979996127346924
0,36,naive_kelly,0.05321781424707963
0,36,robust_G0,0.053128173658746995
0,36,robust_G1,0.04421444807896455
0,36,robust_G2,0.03837765442577911
0,36,robust_G3,0.02651217457444698
0,36,robust_G6,0.010845624247380593
0,36,equal_weight,0.038307134114506
0,36,oracle_kelly,0.0584708889744044
0,37,naive_kelly,0.07692891880897573
0,37,robust_G0,0.07673288894419136
0,37,robust_G1,0.06146885748729237
0,37,robust_G2,0.046944547262904646
0,37,robust_G3,0.028008694756994374
0,37,robust_G6,0.0042123045849697715
0,37,equal_weight,0.07547209193163489
0,37,oracle_kelly,0.07993915910344424
0,38,naive_kelly,0.09221110597935796
0,38,robust_G0,0.09194533168499988
0,38,robust_G1,0.09445480883327118
0,38,robust_G2,0.0904552850588895
0,38,robust_G3,0.06587373460051782
0,38,robust_G6,0.01355244405740733
0,38,equal_weight,0.07880840692944434
0,38,oracle_kelly,0.09547236776869421
0,39,naive_kelly,0.07405499473995622
0,39,robust_G0,0.07407767770099444
0,39,robust_G1,0.06826521201367358
0,39,robust_G2,0.05621291926693337
0,39,robust_G3,0.041751951346246215
0,39,robust_G6,0.018294894025680027
0,39,equal_weight,0.07333400927992809
0,39,oracle_kelly,0.07785499785704805
0,40,naive_kelly,0.09358207801692096
0,40,robust_G0,0.09346321797459742
0,40,robust_G1,0.07773826510617929
0,40,robust_G2,0.07371143605049563
0,40,robust_G3,0.05678416278346501
0,40,robust_G6,0.0062893014293908325
0,40,equal_weight,0.09294358507680724
0,40,oracle_kelly,0.09537961898950215
0,41,naive_kelly,0.08192544196083915
0,41,robust_G0,0.08218445571298885
0,41,robust_G1,0.07667754670186684
0,41,robust_G2,0.061665335890133406
0,41,robust_G3,0.03163363890278818
0,41,robust_G6,0.0195813737359135
0,41,equal_weight,0.07197440288850956
0,41,oracle_kelly,0.08801012947878067
0,42,naive_kelly,0.06591686458352417
0,42,robust_G0,0.06623329223096233
0,42,robust_G1,0.057395394370162604
0,42,robust_G2,0.042292927811331454
0,42,robust_G3,0.01903272759978312
0,42,robust_G6,0.00855224928842958
0,42,equal_weight,0.05487719626529704
0,42,oracle_kelly,0.06933202284739587
0,43,naive_kelly,0.06016768002876042
0,43,robust_G0,0.05995561934955036
0,43,robust_G1,0.05059300780813754
0,43,robust_G2,0.03311023933581241
0,43,robust_G3,0.016564518065321283
0,43,robust_G6,0.0
0,43,equal_weight,0.05651731557781217
0,43,oracle_kelly,0.06115509750988521
0,44,naive_kelly,0.07148920391048876
0,44,robust_G0,0.07166853748219039
0,44,robust_G1,0.06696027381419098
0,44,robust_G2,0.04086083823541098
0,44,robust_G3,0.021647863632869628
0,44,robust_G6,0.0049220173010966805
0,44,equal_weight,0.06291065318284383
0,44,oracle_kelly,0.07708482842161438
0,45,naive_kelly,0.08753608597870363
0,45,robust_G0,0.08823939314944103
0,45,robust_G1,0.07980301089018266
0,45,robust_G2,0.060822386832795894
0,45,robust_G3,0.027783546998653045
0,45,robust_G6,0.005878019094595828
0,45,equal_weight,0.0804801850444902
0,45,oracle_kelly,0.09101044181864815
0,46,naive_kelly,0.05299984178174478
0,46,robust_G0,0.052907587983255316
0,46,robust_G1,0.05121306183085149
0,46,robust_G2,0.03305836881657075
0,46,robust_G3,0.004889953164095259
0,46,robust_G6,0.0002585449997256514
0,46,equal_weight,0.04825914091157793
0,46,oracle_kelly,0.0562396595913859
0,47,naive_kelly,0.07926636454990174
0,47,robust_G0,0.07936501427597395
0,47,robust_G1,0.07123884110772584
0,47,robust_G2,0.06362637219432493
0,47,robust_G3,0.05445554854359748
0,47,robust_G6,0.036925070686842115
0,47,equal_weight,0.059956993058447254
0,47,oracle_kelly,0.08045213523007305
0,48,naive_kelly,0.03269298682163646
0,48,robust_G0,0.03269053108302686
0,48,robust_G1,0.03027035308142379
0,48,robust_G2,0.017662883793583103
0,48,robust_G3,0.0030443439003224005
0,48,robust_G6,0.0030443439003224005
0,48,equal_weight,0.020337690725331672
0,48,oracle_kelly,0.039929325902187646
0,49,naive_kelly,0.0534954771700488
0,49,robust_G0,0.05387118623466462
0,49,robust_G1,0.05471959328078608
0,49,robust_G2,0.052549379576560425
0,49,robust_G3,0.039761168074976545
0,49,robust_G6,0.018430465267168322
0,49,equal_weight,0.04514717982669061
0,49,oracle_kelly,0.05816321261148302
0,50,naive_kelly,0.09291632616080889
0,50,robust_G0,0.092974249805748
0,50,robust_G1,0.08296269126413211
0,50,robust_G2,0.06220516210458265
0,50,robust_G3,0.03517771542225415
0,50,robust_G6,0.0034133754781205906
0,50,equal_weight,0.0951749476760395
0,50,oracle_kelly,0.09689560672800257
0,51,naive_kelly,0.07429148608346996
0,51,robust_G0,0.07394153173140156
0,51,robust_G1,0.06231661058467719
0,51,robust_G2,0.05039360060262146
0,51,robust_G3,0.03102560012821067
0,51,robust_G6,0.0024199169614576273
0,51,equal_weight,0.07367695883546785
0,51,oracle_kelly,0.0771116035002871
0,52,naive_kelly,0.09033768778039572
0,52,robust_G0,0.09009174914253462
0,52,robust_G1,0.08457305605604493
0,52,robust_G2,0.08206939667235472
0,52,robust_G3,0.06810034277462075
0,52,robust_G6,0.018372903385952002
0,52,equal_weight,0.08800300339979124
0,52,oracle_kelly,0.0959902981375024
0,53,naive_kelly,0.10076136030929078
